id,service_id,lang_code,name
11801248123750193024,70010004,zh-CN,室内设计师
1801248123750193025,70010005,en,Renovation Design
11801248123750193025,70010005,zh-CN,翻新设计
1801248123750193026,70010006,en,Floor Plan
11801248123750193026,70010006,zh-CN,平面图
1801248123750193027,70010007,en,3D Rendering
11801248123750193027,70010007,zh-CN,3D 渲染
1801248123750193028,70010008,en,DA Drawings
11801248123750193028,70010008,zh-CN,DA 图纸
1801248123750193029,70010009,en,Sustainable Design
11801248123750193029,70010009,zh-CN,可持续设计
1801248123750193030,70010010,en,Heritage Architect
11801248123750193030,70010010,zh-CN,历史建筑建筑师
1801248123750193031,20010001,en,Savings Account
11801248123750193031,20010001,zh-CN,储蓄账户
1801248123750193032,20010002,en,Home Loan
11801248123750193032,20010002,zh-CN,住房贷款
1801248123750193033,20010003,en,Personal Loan
11801248123750193033,20010003,zh-CN,个人贷款
1801248123750193034,20010004,en,Business Account
11801248123750193034,20010004,zh-CN,企业账户
1801248123750193035,20010005,en,Credit Card
11801248123750193035,20010005,zh-CN,信用卡
1801248123750193036,20010006,en,Term Deposit
11801248123750193036,20010006,zh-CN,定期存款
1801248123750193037,20010007,en,Foreign Exchange
11801248123750193037,20010007,zh-CN,外汇
1801248123750193038,20010008,en,International Transfer
11801248123750193038,20010008,zh-CN,国际汇款
1801248123750193039,20010009,en,Overdraft
11801248123750193039,20010009,zh-CN,透支
1801248123750193040,20010010,en,Line Of Credit
11801248123750193040,20010010,zh-CN,循环信贷
1801248123750193041,100010001,en,Hair Salon
11801248123750193041,100010001,zh-CN,美发沙龙
1801248123750193042,100010002,en,Hairdresser
11801248123750193042,100010002,zh-CN,发型师
1801248123750193043,100010003,en,Nail Salon
11801248123750193043,100010003,zh-CN,美甲店
1801248123750193044,100010004,en,Beauty Salon
11801248123750193044,100010004,zh-CN,美容院
1801248123750193045,100010005,en,Haircut
11801248123750193045,100010005,zh-CN,剪发
1801248123750193046,100010006,en,Hair Colour
11801248123750193046,100010006,zh-CN,染发
1801248123750193047,100010007,en,Manicure Pedicure
11801248123750193047,100010007,zh-CN,美甲美足
1801248123750193048,100010008,en,Gel Nails
11801248123750193048,100010008,zh-CN,光疗美甲
1801248123750193049,100010009,en,Facial
11801248123750193049,100010009,zh-CN,面部护理
1801248123750193050,100010010,en,Waxing
11801248123750193050,100010010,zh-CN,脱毛
1801248123750193051,70020001,en,Home Builder
11801248123750193051,70020001,zh-CN,住宅建造商
1801248123750193052,70020002,en,New Home Build
11801248123750193052,70020002,zh-CN,新房建设
1801248123750193053,70020003,en,Custom Home
11801248123750193053,70020003,zh-CN,定制住宅
1801248123750193054,70020004,en,House Construction
11801248123750193054,70020004,zh-CN,房屋施工
1801248123750193055,70020005,en,Knockdown Rebuild
11801248123750193055,70020005,zh-CN,拆除重建
1801248123750193056,70020006,en,Home Renovation
11801248123750193056,70020006,zh-CN,房屋翻新
1801248123750193057,70020007,en,House Extension
11801248123750193057,70020007,zh-CN,房屋加建
1801248123750193058,70020008,en,Granny Flat
11801248123750193058,70020008,zh-CN,后院小屋 / 亲友房
1801248123750193059,70020009,en,Duplex Builder
11801248123750193059,70020009,zh-CN,复式住宅建造
1801248123750193060,70020010,en,Project Home
11801248123750193060,70020010,zh-CN,项目住宅
1801248123750193061,70030001,en,Buyer Agent
11801248123750193061,70030001,zh-CN,买方代理
1801248123750193062,70030002,en,Buyers Advocate
11801248123750193062,70030002,zh-CN,买房顾问
1801248123750193063,70030003,en,Property Search
11801248123750193063,70030003,zh-CN,房产搜索
1801248123750193064,70030004,en,Auction Bidding
11801248123750193064,70030004,zh-CN,拍卖代拍
1801248123750193065,70030005,en,Property Negotiation
11801248123750193065,70030005,zh-CN,房产谈判
1801248123750193066,70030006,en,Buyer Representation
11801248123750193066,70030006,zh-CN,买方代表
1801248123750193067,70030007,en,Off-market Properties
11801248123750193067,70030007,zh-CN,非公开房源
1801248123750193068,70030008,en,Property Due Diligence
11801248123750193068,70030008,zh-CN,房产尽职调查
1801248123750193069,70030009,en,First Home Buyer Help
11801248123750193069,70030009,zh-CN,首次购房协助
1801248123750193070,70030010,en,Investment Property Search
11801248123750193070,70030010,zh-CN,投资房搜索
1801248123750193071,20020001,en,Forex Trading
11801248123750193071,20020001,zh-CN,外汇交易
1801248123750193072,20020002,en,MT4
11801248123750193072,20020002,zh-CN,MT4 平台
1801248123750193073,20020003,en,MT5
11801248123750193073,20020003,zh-CN,MT5 平台
1801248123750193074,20020004,en,Gold Trading
11801248123750193074,20020004,zh-CN,黄金交易
1801248123750193075,20020005,en,Commodity Trading
11801248123750193075,20020005,zh-CN,大宗商品交易
1801248123750193076,20020006,en,Trading Analysis
11801248123750193076,20020006,zh-CN,交易分析
1801248123750193077,20020007,en,High Leverage
11801248123750193077,20020007,zh-CN,高杠杆
1801248123750193078,20020008,en,Crypto Trading
11801248123750193078,20020008,zh-CN,加密货币交易
1801248123750193079,20020009,en,USDT Deposit
11801248123750193079,20020009,zh-CN,USDT 充值
1801248123750193080,20020010,en,Quantitative Trading
11801248123750193080,20020010,zh-CN,量化交易
1801248123750193081,40020001,en,Cloud Services
11801248123750193081,40020001,zh-CN,云服务
1801248123750193082,40020002,en,Aws
11801248123750193082,40020002,zh-CN,AWS
1801248123750193083,40020003,en,Azure
11801248123750193083,40020003,zh-CN,Azure
1801248123750193084,40020004,en,Google Cloud
11801248123750193084,40020004,zh-CN,Google Cloud
1801248123750193085,40020005,en,Cloud Migration
11801248123750193085,40020005,zh-CN,云迁移
1801248123750193086,40020006,en,Cloud Hosting
11801248123750193086,40020006,zh-CN,云托管
1801248123750193087,40020007,en,Cloud Backup
11801248123750193087,40020007,zh-CN,云备份
1801248123750193088,40020008,en,Cloud Security
11801248123750193088,40020008,zh-CN,云安全
1801248123750193089,40020009,en,Cloud Consulting
11801248123750193089,40020009,zh-CN,云咨询
1801248123750193090,40020010,en,Saas
11801248123750193090,40020010,zh-CN,SaaS
1801248123750193091,10100001,en,Business Consultant
11801248123750193091,10100001,zh-CN,商务顾问
1801248123750193092,10100002,en,Management Consultant
11801248123750193092,10100002,zh-CN,管理顾问
1801248123750193093,10100003,en,Strategy Consultant
11801248123750193093,10100003,zh-CN,战略顾问
1801248123750193094,10100004,en,Business Advisor
11801248123750193094,10100004,zh-CN,商业顾问
1801248123750193095,10100005,en,Process Improvement
11801248123750193095,10100005,zh-CN,流程优化
1801248123750193096,10100006,en,Change Management
11801248123750193096,10100006,zh-CN,变革管理
1801248123750193097,10100007,en,Project Consultant
11801248123750193097,10100007,zh-CN,项目顾问
1801248123750193098,10100008,en,Operations Consultant
11801248123750193098,10100008,zh-CN,运营顾问
1801248123750193099,10100009,en,Growth Consultant
11801248123750193099,10100009,zh-CN,增长顾问
1801248123750193100,10100010,en,Startup Consultant
11801248123750193100,10100010,zh-CN,创业顾问
1801248123750193101,20030001,en,Buy Bitcoin
11801248123750193101,20030001,zh-CN,购买比特币
1801248123750193102,20030002,en,Crypto Exchange
11801248123750193102,20030002,zh-CN,加密货币交易所
1801248123750193103,20030003,en,Crypto Trading
11801248123750193103,20030003,zh-CN,加密货币交易
1801248123750193104,20030004,en,Buy Ethereum
11801248123750193104,20030004,zh-CN,购买以太坊
1801248123750193105,20030005,en,Crypto Wallet
11801248123750193105,20030005,zh-CN,加密钱包
1801248123750193106,20030006,en,NFT
11801248123750193106,20030006,zh-CN,NFT
1801248123750193107,20030007,en,Crypto Tax
11801248123750193107,20030007,zh-CN,加密税务
1801248123750193108,20030008,en,Defi
11801248123750193108,20030008,zh-CN,DeFi 去中心化金融
1801248123750193109,20030009,en,Staking
11801248123750193109,20030009,zh-CN,质押收益
1801248123750193110,20030010,en,Altcoin
11801248123750193110,20030010,zh-CN,山寨币
1801248123750193111,60010001,en,Event Marketing
11801248123750193111,60010001,zh-CN,活动营销
1801248123750193112,60010002,en,Event Planner
11801248123750193112,60010002,zh-CN,活动策划
1801248123750193113,60010003,en,Trade Show
11801248123750193113,60010003,zh-CN,展会
1801248123750193114,60010004,en,Product Launch
11801248123750193114,60010004,zh-CN,产品发布会
1801248123750193115,60010005,en,Conference Organiser
11801248123750193115,60010005,zh-CN,会议组织
1801248123750193116,60010006,en,Corporate Event
11801248123750193116,60010006,zh-CN,企业活动
1801248123750193117,60010007,en,Exhibition Stand
11801248123750193117,60010007,zh-CN,展台搭建
1801248123750193118,60010008,en,Event Promotion
11801248123750193118,60010008,zh-CN,活动推广
1801248123750193119,60010009,en,Virtual Event
11801248123750193119,60010009,zh-CN,在线活动
1801248123750193120,60010010,en,Brand Activation
11801248123750193120,60010010,zh-CN,品牌推广活动
1801248123750193121,20040001,en,Financial Planner
11801248123750193121,20040001,zh-CN,理财规划师
1801248123750193122,20040002,en,Financial Advisor
11801248123750193122,20040002,zh-CN,财务顾问
1801248123750193123,20040003,en,Retirement Planning
11801248123750193123,20040003,zh-CN,退休规划
1801248123750193124,20040004,en,Superannuation Advice
11801248123750193124,20040004,zh-CN,养老金建议
1801248123750193125,20040005,en,Investment Advice
11801248123750193125,20040005,zh-CN,投资建议
1801248123750193126,20040006,en,Tax Planning
11801248123750193126,20040006,zh-CN,税务筹划
1801248123750193127,20040007,en,Estate Planning
11801248123750193127,20040007,zh-CN,遗产规划
1801248123750193128,20040008,en,Wealth Management
11801248123750193128,20040008,zh-CN,财富管理
1801248123750193129,20040009,en,SMSF Specialist
11801248123750193129,20040009,zh-CN,SMSF 专家
1801248123750193130,20040010,en,Pension Advice
11801248123750193130,20040010,zh-CN,养老金咨询
1801248123750193131,80010001,en,Food Supplier
11801248123750193131,80010001,zh-CN,食品供应商
1801248123750193132,80010002,en,Catering
11801248123750193132,80010002,zh-CN,餐饮外烩
1801248123750193133,80010003,en,Food Manufacturer
11801248123750193133,80010003,zh-CN,食品制造商
1801248123750193134,80010004,en,Beverage Supplier
11801248123750193134,80010004,zh-CN,饮料供应商
1801248123750193135,80010005,en,Food Wholesale
11801248123750193135,80010005,zh-CN,食品批发
1801248123750193136,80010006,en,Commercial Kitchen
11801248123750193136,80010006,zh-CN,商用厨房
1801248123750193137,80010007,en,Food Production
11801248123750193137,80010007,zh-CN,食品生产
1801248123750193138,80010008,en,Private Label Food
11801248123750193138,80010008,zh-CN,自有品牌食品
1801248123750193139,80010009,en,Food Distributor
11801248123750193139,80010009,zh-CN,食品分销商
1801248123750193140,80010010,en,Bakery Supplier
11801248123750193140,80010010,zh-CN,烘焙原料供应
1801248123750193141,80010011,en,Restaurant
11801248123750193141,80010011,zh-CN,餐厅
1801248123750193142,80010012,en,Cafe
11801248123750193142,80010012,zh-CN,咖啡馆
1801248123750193143,80010013,en,Takeaway
11801248123750193143,80010013,zh-CN,外卖
1801248123750193144,80010014,en,Food Delivery
11801248123750193144,80010014,zh-CN,送餐服务
1801248123750193145,80010015,en,Dine In
11801248123750193145,80010015,zh-CN,堂食
1801248123750193146,80010016,en,BYO Restaurant
11801248123750193146,80010016,zh-CN,自带酒水餐厅
1801248123750193147,80010017,en,Breakfast Cafe
11801248123750193147,80010017,zh-CN,早餐咖啡馆
1801248123750193148,80010018,en,Lunch Special
11801248123750193148,80010018,zh-CN,午餐特惠
1801248123750193149,80010019,en,Dinner Booking
11801248123750193149,80010019,zh-CN,晚餐预订
1801248123750193150,80010020,en,Private Dining
11801248123750193150,80010020,zh-CN,私人包间用餐
1801248123750193151,10160001,en,Currency Exchange
11801248123750193151,10160001,zh-CN,货币兑换
1801248123750193152,10160002,en,Money Transfer
11801248123750193152,10160002,zh-CN,汇款
1801248123750193153,10160003,en,Send Money Overseas
11801248123750193153,10160003,zh-CN,海外汇款
1801248123750193154,10160004,en,Remittance
11801248123750193154,10160004,zh-CN,汇款服务
1801248123750193155,10160005,en,International Money Transfer
11801248123750193155,10160005,zh-CN,国际汇款服务
1801248123750193156,10160006,en,Exchange Rate
11801248123750193156,10160006,zh-CN,汇率
1801248123750193157,10160007,en,Aud To Cny
11801248123750193157,10160007,zh-CN,澳元兑人民币
1801248123750193158,10160008,en,Aud To Usd
11801248123750193158,10160008,zh-CN,澳元兑美元
1801248123750193159,10160009,en,Wire Transfer
11801248123750193159,10160009,zh-CN,电汇
1801248123750193160,10160010,en,Foreign Currency
11801248123750193160,10160010,zh-CN,外币
1801248123750193161,80030001,en,Manufacturer
11801248123750193161,80030001,zh-CN,制造商
1801248123750193162,80030002,en,Custom Manufacturing
11801248123750193162,80030002,zh-CN,定制制造
1801248123750193163,80030003,en,OEM
11801248123750193163,80030003,zh-CN,OEM 代工
1801248123750193164,80030004,en,Factory
11801248123750193164,80030004,zh-CN,工厂
1801248123750193165,80030005,en,Production
11801248123750193165,80030005,zh-CN,生产
1801248123750193166,80030006,en,Fabrication
11801248123750193166,80030006,zh-CN,加工
1801248123750193167,80030007,en,Assembly
11801248123750193167,80030007,zh-CN,组装
1801248123750193168,80030008,en,Prototype
11801248123750193168,80030008,zh-CN,原型打样
1801248123750193169,80030009,en,Contract Manufacturing
11801248123750193169,80030009,zh-CN,合同制造
1801248123750193170,80030010,en,Industrial Manufacturing
11801248123750193170,80030010,zh-CN,工业制造
1801248123750193171,30010001,en,GP
11801248123750193171,30010001,zh-CN,全科医生
1801248123750193172,30010002,en,Doctor
11801248123750193172,30010002,zh-CN,医生
1801248123750193173,30010003,en,Bulk Billing
11801248123750193173,30010003,zh-CN,批量报销 (Bulk Billing)
1801248123750193174,30010004,en,Medical Centre
11801248123750193174,30010004,zh-CN,医疗中心
1801248123750193175,30010005,en,Family Doctor
11801248123750193175,30010005,zh-CN,家庭医生
1801248123750193176,30010006,en,Health Check
11801248123750193176,30010006,zh-CN,健康检查
1801248123750193177,30010007,en,Vaccination
11801248123750193177,30010007,zh-CN,疫苗接种
1801248123750193178,30010008,en,Medical Certificate
11801248123750193178,30010008,zh-CN,病假条 / 医疗证明
1801248123750193179,30010009,en,Skin Check
11801248123750193179,30010009,zh-CN,皮肤检查
1801248123750193180,30010010,en,Telehealth
11801248123750193180,30010010,zh-CN,在线问诊 / 远程医疗
1801248123750193181,60020001,en,Graphic Designer
11801248123750193181,60020001,zh-CN,平面设计师
1801248123750193182,60020002,en,Logo Design
11801248123750193182,60020002,zh-CN,标志设计
1801248123750193183,60020003,en,Flyer Design
11801248123750193183,60020003,zh-CN,传单设计
1801248123750193184,60020004,en,Brochure Design
11801248123750193184,60020004,zh-CN,宣传册设计
1801248123750193185,60020005,en,Business Card Design
11801248123750193185,60020005,zh-CN,名片设计
1801248123750193186,60020006,en,Packaging Design
11801248123750193186,60020006,zh-CN,包装设计
1801248123750193187,60020007,en,Banner Design
11801248123750193187,60020007,zh-CN,横幅设计
1801248123750193188,60020008,en,Poster Design
11801248123750193188,60020008,zh-CN,海报设计
1801248123750193189,60020009,en,Menu Design
11801248123750193189,60020009,zh-CN,菜单设计
1801248123750193190,60020010,en,Social Media Design
11801248123750193190,60020010,zh-CN,社交媒体视觉设计
1801248123750193191,10200001,en,HR Consultant
11801248123750193191,10200001,zh-CN,人力资源顾问
1801248123750193192,10200002,en,Recruitment Agency
11801248123750193192,10200002,zh-CN,招聘中介
1801248123750193193,10200003,en,Payroll Outsourcing
11801248123750193193,10200003,zh-CN,薪资外包
1801248123750193194,10200004,en,HR Outsourcing
11801248123750193194,10200004,zh-CN,HR 外包
1801248123750193195,10200005,en,Staff Training
11801248123750193195,10200005,zh-CN,员工培训
1801248123750193196,10200006,en,Workplace Relations
11801248123750193196,10200006,zh-CN,劳资关系
1801248123750193197,10200007,en,HR Policy
11801248123750193197,10200007,zh-CN,HR 政策
1801248123750193198,10200008,en,Employee Onboarding
11801248123750193198,10200008,zh-CN,员工入职
1801248123750193199,10200009,en,Background Check
11801248123750193199,10200009,zh-CN,背景调查
1801248123750193200,10200010,en,Executive Search
11801248123750193200,10200010,zh-CN,高管猎头
1801248123750193201,100020001,en,Migration Agent
11801248123750193201,100020001,zh-CN,移民代理
1801248123750193202,100020002,en,Immigration Lawyer
11801248123750193202,100020002,zh-CN,移民律师
1801248123750193203,100020003,en,Visa Application
11801248123750193203,100020003,zh-CN,签证申请
1801248123750193204,100020004,en,Skilled Visa
11801248123750193204,100020004,zh-CN,技术移民签证
1801248123750193205,100020005,en,Student Visa
11801248123750193205,100020005,zh-CN,学生签证
1801248123750193206,100020006,en,Partner Visa
11801248123750193206,100020006,zh-CN,配偶签证
1801248123750193207,100020007,en,Citizenship Application
11801248123750193207,100020007,zh-CN,入籍申请
1801248123750193208,100020008,en,Employer Sponsorship
11801248123750193208,100020008,zh-CN,雇主担保
1801248123750193209,100020009,en,Visa Appeal
11801248123750193209,100020009,zh-CN,签证上诉
1801248123750193210,100020010,en,Migration Advice
11801248123750193210,100020010,zh-CN,移民咨询
1801248123750193211,20050001,en,Car Insurance
11801248123750193211,20050001,zh-CN,汽车保险
1801248123750193212,20050002,en,Home Insurance
11801248123750193212,20050002,zh-CN,房屋保险
1801248123750193213,20050003,en,Life Insurance
11801248123750193213,20050003,zh-CN,人寿保险
1801248123750193214,20050004,en,Health Insurance
11801248123750193214,20050004,zh-CN,健康保险
1801248123750193215,20050005,en,Business Insurance
11801248123750193215,20050005,zh-CN,商业保险
1801248123750193216,20050006,en,Travel Insurance
11801248123750193216,20050006,zh-CN,旅游保险
1801248123750193217,20050007,en,Landlord Insurance
11801248123750193217,20050007,zh-CN,房东保险
1801248123750193218,20050008,en,Income Protection
11801248123750193218,20050008,zh-CN,收入保障保险
1801248123750193219,20050009,en,Public Liability
11801248123750193219,20050009,zh-CN,公众责任险
1801248123750193220,20050010,en,Professional Indemnity
11801248123750193220,20050010,zh-CN,职业责任险
1801248123750193221,10230001,en,Lawyer
11801248123750193221,10230001,zh-CN,律师
1801248123750193222,10230002,en,Solicitor
11801248123750193222,10230002,zh-CN,事务律师
1801248123750193223,10230003,en,Conveyancer
11801248123750193223,10230003,zh-CN,产权过户师
1801248123750193224,10230004,en,Family Lawyer
11801248123750193224,10230004,zh-CN,家庭律师
1801248123750193225,10230005,en,Wills And Estates
11801248123750193225,10230005,zh-CN,遗嘱与遗产
1801248123750193226,10230006,en,Commercial Lawyer
11801248123750193226,10230006,zh-CN,商业律师
1801248123750193227,10230007,en,Property Lawyer
11801248123750193227,10230007,zh-CN,房产律师
1801248123750193228,10230008,en,Employment Lawyer
11801248123750193228,10230008,zh-CN,雇佣律师
1801248123750193229,10230009,en,Litigation Lawyer
11801248123750193229,10230009,zh-CN,诉讼律师
1801248123750193230,10230010,en,Contract Lawyer
11801248123750193230,10230010,zh-CN,合同律师
1801248123750193231,20060001,en,Home Loan
11801248123750193231,20060001,zh-CN,住房贷款
1801248123750193232,20060002,en,Refinance
11801248123750193232,20060002,zh-CN,再融资
1801248123750193233,20060003,en,First Home Buyer
11801248123750193233,20060003,zh-CN,首购房贷款
1801248123750193234,20060004,en,Investment Loan
11801248123750193234,20060004,zh-CN,投资贷款
1801248123750193235,20060005,en,Construction Loan
11801248123750193235,20060005,zh-CN,建筑贷款
1801248123750193236,20060006,en,Pre-approval
11801248123750193236,20060006,zh-CN,预审批
1801248123750193237,20060007,en,Fixed Rate Loan
11801248123750193237,20060007,zh-CN,固定利率贷款
1801248123750193238,20060008,en,Variable Rate Loan
11801248123750193238,20060008,zh-CN,浮动利率贷款
1801248123750193239,20060009,en,Car Loan
11801248123750193239,20060009,zh-CN,汽车贷款
1801248123750193240,20060010,en,Bridge Loan
11801248123750193240,20060010,zh-CN,过桥贷款
1801248123750193241,20070001,en,Personal Loan
11801248123750193241,20070001,zh-CN,个人贷款
1801248123750193242,20070002,en,Car Loan
11801248123750193242,20070002,zh-CN,汽车贷款
1801248123750193243,20070003,en,Business Loan
11801248123750193243,20070003,zh-CN,商业贷款
1801248123750193244,20070004,en,Bad Credit Loan
11801248123750193244,20070004,zh-CN,不良信用贷款
1801248123750193245,20070005,en,Debt Consolidation
11801248123750193245,20070005,zh-CN,债务整合
1801248123750193246,20070006,en,Equipment Finance
11801248123750193246,20070006,zh-CN,设备融资
1801248123750193247,20070007,en,Invoice Finance
11801248123750193247,20070007,zh-CN,应收账款融资
1801248123750193248,20070008,en,Short Term Loan
11801248123750193248,20070008,zh-CN,短期贷款
1801248123750193249,20070009,en,Secured Loan
11801248123750193249,20070009,zh-CN,有担保贷款
1801248123750193250,20070010,en,Low Doc Loan
11801248123750193250,20070010,zh-CN,低文档贷款
1801248123750193251,90010001,en,Local Service
11801248123750193251,90010001,zh-CN,本地服务
1801248123750193252,90010002,en,Mobile Service
11801248123750193252,90010002,zh-CN,上门服务 / 流动服务
1801248123750193253,90010003,en,Same Day Service
11801248123750193253,90010003,zh-CN,当天服务
1801248123750193254,90010004,en,24 Hour Service
11801248123750193254,90010004,zh-CN,24 小时服务
1801248123750193255,90010005,en,Emergency Service
11801248123750193255,90010005,zh-CN,紧急服务
1801248123750193256,90010006,en,Weekend Service
11801248123750193256,90010006,zh-CN,周末服务
1801248123750193257,90010007,en,Online Booking
11801248123750193257,90010007,zh-CN,在线预约
1801248123750193258,90010008,en,Free Quote
11801248123750193258,90010008,zh-CN,免费报价
1801248123750193259,90010009,en,On-site Service
11801248123750193259,90010009,zh-CN,上门服务
1801248123750193260,90010010,en,After Hours Service
11801248123750193260,90010010,zh-CN,非营业时间服务
1801248123750193261,100030001,en,Parcel Forwarding
11801248123750193261,100030001,zh-CN,包裹转运
1801248123750193262,100030002,en,Freight
11801248123750193262,100030002,zh-CN,货运
1801248123750193263,100030003,en,Shipping
11801248123750193263,100030003,zh-CN,航运 / 物流
1801248123750193264,100030004,en,Courier
11801248123750193264,100030004,zh-CN,快递
1801248123750193265,100030005,en,Air Freight
11801248123750193265,100030005,zh-CN,空运
1801248123750193266,100030006,en,Sea Freight
11801248123750193266,100030006,zh-CN,海运
1801248123750193267,100030007,en,Customs Clearance
11801248123750193267,100030007,zh-CN,清关
1801248123750193268,100030008,en,Package Consolidation
11801248123750193268,100030008,zh-CN,包裹合箱
1801248123750193269,100030009,en,International Shipping
11801248123750193269,100030009,zh-CN,国际物流
1801248123750193270,100030010,en,Express Delivery
11801248123750193270,100030010,zh-CN,特快专递
1801248123750193271,30020001,en,Pharmacy
11801248123750193271,30020001,zh-CN,药房
1801248123750193272,30020002,en,Chemist
11801248123750193272,30020002,zh-CN,化学药房 / Chemist
1801248123750193273,30020003,en,Prescription
11801248123750193273,30020003,zh-CN,处方药
1801248123750193274,30020004,en,Medication
11801248123750193274,30020004,zh-CN,药品
1801248123750193275,30020005,en,Pharmacist
11801248123750193275,30020005,zh-CN,药剂师
1801248123750193276,30020006,en,Health Products
11801248123750193276,30020006,zh-CN,健康产品
1801248123750193277,30020007,en,Compounding Pharmacy
11801248123750193277,30020007,zh-CN,配制药房
1801248123750193278,30020008,en,Flu Shot
11801248123750193278,30020008,zh-CN,流感疫苗
1801248123750193279,30020009,en,Medicine Delivery
11801248123750193279,30020009,zh-CN,送药上门
1801248123750193280,30020010,en,Scripts
11801248123750193280,30020010,zh-CN,处方续配
1801248123750193281,20080001,en,Private Equity
11801248123750193281,20080001,zh-CN,私募股权
1801248123750193282,20080002,en,Buyout
11801248123750193282,20080002,zh-CN,收购
1801248123750193283,20080003,en,Growth Capital
11801248123750193283,20080003,zh-CN,成长资本
1801248123750193284,20080004,en,Mezzanine Finance
11801248123750193284,20080004,zh-CN,夹层融资
1801248123750193285,20080005,en,LBO
11801248123750193285,20080005,zh-CN,杠杆收购 (LBO)
1801248123750193286,20080006,en,Management Buyout
11801248123750193286,20080006,zh-CN,管理层收购
1801248123750193287,20080007,en,Secondary Buyout
11801248123750193287,20080007,zh-CN,二次收购
1801248123750193288,20080008,en,PE Fund
11801248123750193288,20080008,zh-CN,私募基金
1801248123750193289,20080009,en,Portfolio Company
11801248123750193289,20080009,zh-CN,投资组合公司
1801248123750193290,20080010,en,Exit Strategy
11801248123750193290,20080010,zh-CN,退出策略
1801248123750193291,30030001,en,Private Hospital
11801248123750193291,30030001,zh-CN,私立医院
1801248123750193292,30030002,en,Elective Surgery
11801248123750193292,30030002,zh-CN,择期手术
1801248123750193293,30030003,en,Day Surgery
11801248123750193293,30030003,zh-CN,日间手术
1801248123750193294,30030004,en,Private Health
11801248123750193294,30030004,zh-CN,私人健康保险
1801248123750193295,30030005,en,Specialist Surgery
11801248123750193295,30030005,zh-CN,专科手术
1801248123750193296,30030006,en,Maternity Hospital
11801248123750193296,30030006,zh-CN,妇产医院
1801248123750193297,30030007,en,Orthopaedic Surgery
11801248123750193297,30030007,zh-CN,骨科手术
1801248123750193298,30030008,en,Cardiac Surgery
11801248123750193298,30030008,zh-CN,心脏外科
1801248123750193299,30030009,en,Private Emergency
11801248123750193299,30030009,zh-CN,私人急诊
1801248123750193300,30030010,en,Inpatient Care
11801248123750193300,30030010,zh-CN,住院护理
1801248123750193301,70040001,en,Property Developer
11801248123750193301,70040001,zh-CN,地产开发商
1801248123750193302,70040002,en,Land Subdivision
11801248123750193302,70040002,zh-CN,土地分割
1801248123750193303,70040003,en,Development Approval
11801248123750193303,70040003,zh-CN,开发审批
1801248123750193304,70040004,en,Townhouse Development
11801248123750193304,70040004,zh-CN,联排别墅开发
1801248123750193305,70040005,en,Apartment Development
11801248123750193305,70040005,zh-CN,公寓开发
1801248123750193306,70040006,en,Off The Plan
11801248123750193306,70040006,zh-CN,期房
1801248123750193307,70040007,en,Development Site
11801248123750193307,70040007,zh-CN,开发用地
1801248123750193308,70040008,en,Joint Venture
11801248123750193308,70040008,zh-CN,合资开发
1801248123750193309,70040009,en,Feasibility Study
11801248123750193309,70040009,zh-CN,可行性研究
1801248123750193310,70040010,en,Project Marketing
11801248123750193310,70040010,zh-CN,项目营销
